url,title,price,status,country,proxy,retries,scraped_at
https://www.amazon.fr/31090/dp/B07Q9TY34J/ref=sr_1_1_mod_primary_new?dib=eyJ2IjoiMSJ9.8ItkPQxrVTbSp9tDmlUZ9A.-Wvw-hx8F3RnSlJyKc7X7c3U4zgOJUZiCB_Grp6KIWE&dib_tag=se&keywords=3154143612112&qid=1767988759&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-1&smid=A1X6FK5RDHNB96&th=1,Officemate Lot de 106 pinces à reliure Happy Smiling Face - Petite taille - Couleurs assorties (31090),"7,",success,France,9.142.203.161,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B00F2GU97Q/?th=1,"De Buyer - Moule à tarte carré à fond amovible en acier antiadhésif - 23 x 23 cm -, Noir","23,",success,France,9.142.219.72,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0GZ4V526G/?th=1,Schneider Electric Interrupteur ou Poussoir volet Roulant 3 Positions à Levier - Blanc Craie,"14,",success,France,192.46.185.128,2,2026-05-25 09:08:19
https://www.amazon.fr/dp/B018SLETXQ/?th=1,"TSG Evolution Solid Color Casque Mixte, Blanc (Satin white ), XXL","30,",success,France,166.0.41.138,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0F4XYVGBQ/?th=1,"VANGUARD Veo Metro B30L BK - Sac à dos photo, capacité 30 L, tissu extérieur hydrofuge, noir","208,",success,France,9.142.41.249,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B018SLETXQ/?th=1,"TSG Evolution Solid Color Casque Mixte, Blanc (Satin white ), XXL","30,",success,France,63.246.137.171,0,2026-05-25 09:08:19
https://www.amazon.fr/Fellowes-lubrifiantes-performances-dutilisation-4025601/dp/B0BFFJKRLX/ref=sr_1_1?keywords=0043859783939&smid=A1X6FK5RDHNB96&th=1,Fellowes Lot de 10 Feuilles lubrifiantes pour destructeur de Document | pour Augmenter Les Performances de la Machine | Facile d'utilisation | pour destructeur Coupe croisée et Micro | 4025601,"16,",success,France,194.113.80.124,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0B9499T3T/?th=1,ScrapCooking - Kit Découpoir + Embosseur Bois Casse-Noisette - Emporte-Pièce Noël en Inox pour Biscuits en Relief - Moule Accessoires Pâtisserie Sablés - Coloris Doré - 2097,"5,",success,France,130.180.233.172,1,2026-05-25 09:08:19
https://www.amazon.fr/dp/B00IESU5CS/?th=1,Rosti Zone Denmark Margrethe couvercle anti-projection pour Bol mélangeur - 3 Litres Transparent - Neutre,"22,",success,France,192.53.66.76,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B00OM8J264/?th=1,PULS.LUM.LED.IMPULS VERDE NA 24V,"12,",success,France,31.98.4.68,2,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0DV5HD1L8/?th=1,"RYOBI - Etagère pour batteries 18V ONE+ - charge max : 6,8 kg - Système LINK - RSLW818","14,",success,France,96.62.181.54,1,2026-05-25 09:08:19
https://www.amazon.fr/dp/B00OYUF36S/?th=1,Nicoll - Robinet flotteur et mécanisme de chasse - Mécanisme de chasse 3V12 Universel N.F. à cable poussoir double débit Nicoll,"36,",success,France,45.56.183.89,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B00OM8J264/?th=1,PULS.LUM.LED.IMPULS VERDE NA 24V,"12,",success,France,82.23.88.77,1,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0BJPZ6J84/?th=1,Jollein - Housse à langer 50 x 70 cm Motif biscuits,"21,",success,France,104.252.62.239,1,2026-05-25 09:08:19
https://www.amazon.fr/dp/B001ZRYAZ8/?th=1,Schneider Electric - Harmony XB4 - bouton poussoir impulsion - Ø22 - marqué - vert - 1F - vis étrier - XB4BA3311,"13,",success,France,9.142.11.61,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B001ZRYAZ8/?th=1,Schneider Electric - Harmony XB4 - bouton poussoir impulsion - Ø22 - marqué - vert - 1F - vis étrier - XB4BA3311,"15,",success,France,209.166.3.159,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0FMS75PZG/?th=1,"Weleda HydraShine Shampooing Hydratant – Cheveux Nourris, Brillants et Doux (91% Satisfaits, 100% Hydratation Prouvée) – Soin Capillaire Naturel Certifié NATRUE – 250ml","6,",success,France,166.0.41.138,0,2026-05-25 09:08:19
https://www.amazon.fr/Apple-iPhone-16-Plus-256/dp/B0DGHSRLXF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.GGddqeWNqC2FP4XTbKEgyw.t7J1xjz5LhXwYn0lf8fN8Hrr0wbJFVNpHu72ucD9xJ0&dib_tag=se&keywords=0195949723971&qid=1731421651&sr=8-1&smid=A1X6FK5RDHNB96&th=1,Apple iPhone 16 Plus (256 Go) - Cyan,"1 039,",success,France,166.0.41.87,0,2026-05-25 09:08:19
